place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
NWA 725,Acapulcoite,Achondrite,Stony,3824,1,Found,0,-5.05,30.6
Dho 125,Acapulcoite,Achondrite,Stony,2697,1,Found,2000,54.6005,18.98667
Acapulco,Acapulcoite,Achondrite,Stony,1914,0,Fell,1976,-99.9,16.88333
A-881902,Acapulcoite,Achondrite,Stony,907.87,1,Found,1988,26,-72
Monument Draw,Acapulcoite,Achondrite,Stony,524.5,1,Found,1985,-102.74333,32.50333
Dho 312,Acapulcoite,Achondrite,Stony,354,1,Found,2001,54.605,18.98833
MET 01195,Acapulcoite,Achondrite,Stony,98.7,1,Found,2001,159.75,-79.68333
MET 01198,Acapulcoite,Achondrite,Stony,98.5,1,Found,2001,159.75,-79.68333
Dho 1222,Acapulcoite,Achondrite,Stony,93,1,Found,2003,54.05667,18.20417
MET 01244,Acapulcoite,Achondrite,Stony,76.5,1,Found,2001,159.75,-79.68333
Dho 290,Acapulcoite,Achondrite,Stony,62,1,Found,2001,54.84333,19.315
TIL 99002,Acapulcoite,Achondrite,Stony,44.3,1,Found,2000,-94.57012,-85.1605
ALHA81187,Acapulcoite,Achondrite,Stony,40,1,Found,1981,159.31833,-76.69278
Y-74063,Acapulcoite,Achondrite,Stony,35.41,1,Found,1974,35.66667,-71.5
MET 01212,Acapulcoite,Achondrite,Stony,31.4,1,Found,2001,159.75,-79.68333
TIL 07012,Acapulcoite,Achondrite,Stony,30,1,Found,2007,-94.71883,-85.165
PCA 01026,Acapulcoite,Achondrite,Stony,29,1,Found,2002,-68.56933,-85.65205
GRA 98028,Acapulcoite,Achondrite,Stony,22.4,1,Found,1998,-141.5,-86.71667
Yabrin 003,Acapulcoite,Achondrite,Stony,21.048,1,Found,2008,48.62988,23.31522
ALHA81261,Acapulcoite,Achondrite,Stony,11.8,1,Found,1981,159.38695,-76.69111
El M??dano 096,Acapulcoite,Achondrite,Stony,11.1,1,Found,2011,-70.53333,-24.85
ALHA77081,Acapulcoite,Achondrite,Stony,8.6,1,Found,1977,159.66667,-76.71667
FRO 95029,Acapulcoite,Achondrite,Stony,8.3,1,Found,1995,160.417,-72.99133
GSS 032,Acapulcoite,Achondrite,Stony,8.3,1,Found,2006,25.45567,26.18667
ALH 84190,Acapulcoite,Achondrite,Stony,7.9,1,Found,1984,159.33783,-76.68361
MET 01232,Acapulcoite,Achondrite,Stony,7.6,1,Found,2001,159.75,-79.68333
ALHA78230,Acapulcoite,Achondrite,Stony,3.87,1,Found,1977,159.66667,-76.71667
ALHA81315,Acapulcoite,Achondrite,Stony,2.5,1,Found,1981,159.36889,-76.68861
GRV 021663,Acapulcoite,Achondrite,Stony,2.19,1,Found,2003,75.339722,-72.773611
SuV 014,Acapulcoite,Achondrite,Stony,1.77,1,Found,2002,-117.04212,35.236
EET 84302,Acapulcoite/Lodranite,Achondrite,Stony,59.6,1,Found,1984,157.17611,-76.27639
LEW 86220,Acapulcoite/Lodranite,Achondrite,Stony,25,1,Found,1986,161.34898,-84.25442
FRO 93001,Acapulcoite/Lodranite,Achondrite,Stony,4.86,1,Found,1993,160.49139,-72.95556
Divnoe,Achondrite-ung,Achondrite,Stony,12700,1,Found,1981,43.7,45.7
Al Huwaysah 010,Achondrite-ung,Achondrite,Stony,1411.8,1,Found,2010,55.47218,22.74868
Dho 1441,Achondrite-ung,Achondrite,Stony,267.8,1,Found,2003,54.48383,18.436
SaU 493,Achondrite-ung,Achondrite,Stony,134,1,Found,2009,57.3,20.53333
DaG 962,Achondrite-ung,Achondrite,Stony,130,1,Found,1998,16.4085,27.198
Dho 500,Achondrite-ung,Achondrite,Stony,116,1,Found,2000,54.20333,18.38667
A-881548,Achondrite-ung,Achondrite,Stony,110.16,1,Found,1988,26,-72
NWA 011,Achondrite-ung,Achondrite,Stony,40,1,Found,1999,-4.33333,31.33333
Dho 732,Achondrite-ung,Achondrite,Stony,17,1,Found,2002,54.57833,19.405
Y-8307,Achondrite-ung,Achondrite,Stony,3.37,1,Found,1983,35.66667,-71.5
QUE 93148,Achondrite-ung,Achondrite,Stony,1.1,1,Found,1993,162.56681,-84.57584
Silistra,Achondrite-ung,Achondrite,Stony,0.15,0,Fell,1917,27.26667,44.11667
LEW 86010,Angrite,Achondrite,Stony,6.9,1,Found,1986,161.5352,-84.23589
D'Orbigny,Angrite,Achondrite,Stony,16550,1,Found,1979,-61.65,-37.66667
Angra dos Reis (stone),Angrite,Achondrite,Stony,1500,0,Fell,1869,-44.31667,-22.96667
NWA 4590,Angrite,Achondrite,Stony,212.8,1,Found,2006,-4.94288,30.31708
A-881371,Angrite,Achondrite,Stony,11.27,1,Found,1988,26,-72
LEW 87051,Angrite,Achondrite,Stony,0.6,1,Found,1987,161.4824,-84.348
Al Haggounia 001,Aubrite,Achondrite,Stony,3000000,1,Found,2006,-12.5,27.5
Norton County,Aubrite,Achondrite,Stony,1100000,0,Fell,1948,-99.86667,39.68333
Pe??a Blanca Spring,Aubrite,Achondrite,Stony,70000,0,Fell,1946,-103.11667,30.125
Cumberland Falls,Aubrite,Achondrite,Stony,17000,0,Fell,1919,-84.35,36.83333
Bishopville,Aubrite,Achondrite,Stony,6000,0,Fell,1843,-80.28333,34.16667
Mayo Belwa,Aubrite,Achondrite,Stony,4850,0,Fell,1974,12.08333,8.96667
Shallowater,Aubrite,Achondrite,Stony,4650,1,Found,1936,-101.93333,33.7
Pesyanoe,Aubrite,Achondrite,Stony,3393,0,Fell,1933,66.08333,55.5
Khor Temiki,Aubrite,Achondrite,Stony,3200,0,Fell,1932,36,16
Bustee,Aubrite,Achondrite,Stony,1500,0,Fell,1852,82.83333,26.78333
Aubres,Aubrite,Achondrite,Stony,800,0,Fell,1836,5.16667,44.38333
ALH 84007,Aubrite,Achondrite,Stony,705.6,1,Found,1984,158.50193,-76.87783
ALH 84009,Aubrite,Achondrite,Stony,335.6,1,Found,1984,158.52417,-76.86569
ALH 84010,Aubrite,Achondrite,Stony,303,1,Found,1984,158.61378,-76.88572
ALH 84008,Aubrite,Achondrite,Stony,301.6,1,Found,1984,158.57931,-76.88238
ALHA78113,Aubrite,Achondrite,Stony,298.6,1,Found,1978,159.66667,-76.71667
ALH 84015,Aubrite,Achondrite,Stony,263.9,1,Found,1984,158.60279,-76.88495
ALH 84023,Aubrite,Achondrite,Stony,262.4,1,Found,1984,158.58451,-76.89846
ALH 84012,Aubrite,Achondrite,Stony,224.7,1,Found,1984,158.53214,-76.88304
ALH 84024,Aubrite,Achondrite,Stony,194.4,1,Found,1984,158.54311,-76.872
ALH 84020,Aubrite,Achondrite,Stony,191.1,1,Found,1984,158.53785,-76.86997
ALH 84013,Aubrite,Achondrite,Stony,159.9,1,Found,1984,158.59203,-76.8982
ALH 84016,Aubrite,Achondrite,Stony,149.7,1,Found,1984,158.58777,-76.88429
ALH 84011,Aubrite,Achondrite,Stony,138.2,1,Found,1984,158.61831,-76.87851
ALH 84019,Aubrite,Achondrite,Stony,93.2,1,Found,1984,158.50969,-76.84714
ALH 84018,Aubrite,Achondrite,Stony,81.7,1,Found,1984,158.51818,-76.86224
ALH 84017,Aubrite,Achondrite,Stony,79.8,1,Found,1984,158.662,-76.88322
ALH 84014,Aubrite,Achondrite,Stony,49.4,1,Found,1984,158.67508,-76.88435
ALH 84021,Aubrite,Achondrite,Stony,35.7,1,Found,1984,158.50622,-76.85453
Y-793592,Aubrite,Achondrite,Stony,31.99,1,Found,1979,35.66667,-71.5
LAP 03780,Aubrite,Achondrite,Stony,21.81,1,Found,2003,-70,-86.36667
